"so2","car.count","wind.velocity","wind.direction","time.of.day","day.index","temperature.1","temperature.30"
20.2999820132388,1305.00219271923,7.8,49,11,90,-7,-7.1
20.4998998342853,2873.99980847961,3.2,268,18,42,3.6,4.8
82.0000617243545,2531.00060606036,0.5,296,15,184,8.9,8.3
76.1998885429053,3644.00999047752,2.4,84,8,100,-9,-9
74.4003019277876,2168.99672301898,5,78,11,166,3.5,2.5
51.0002227315458,2328.9900554606,2.5,83,20,98,-5.4,-4
9.79997662039793,146.000493231416,3.5,121,4,128,1.8,2.1
51.0002227315458,2328.9900554606,2.5,83,20,98,-5.4,-4
17.1000262740229,1754.99274151057,2.6,262,12,203,10.8,7.3
45.2001316751058,3714.98529920993,3.5,82,8,64,2,1.8
42.4998267733123,2978.99120388012,2.6,194,16,126,4.8,5.1
76.1998885429053,3644.00999047752,2.4,84,8,100,-9,-9
46.900109021417,1951.00518845121,5,82,17,118,-5.5,-5.6
48.7000472347108,1014.00184127243,0.5,71,9,188,6.4,4.3
31.5000773063999,180.000566840655,2.7,86,5,92,-18.6,-17.8
23.4000930768756,2322.98900580036,4.5,307,14,32,8.2,8.4
25.100054062001,2085.99241623413,4.3,322,13,32,8.5,8.3
60.9997642858835,2042.99061280916,2.9,213,20,81,-3.4,-1.7
74.8997086003812,171.99922998981,1.7,184,5,154,-6.5,-5.7
25.2998887881875,607.000733827328,3,235,1,69,-0.9,-0.8
16.9999431511394,172.999724152104,1.5,179,3,202,3.1,3.1
46.4998924645354,195.000086080088,3.8,79,5,95,-13.8,-13.6
45.3001344284483,296.999364776278,1.2,76,1,141,2,2.4
76.1998885429053,3644.00999047752,2.4,84,8,100,-9,-9
48.9999853925815,1290.99691342067,0.9,274,10,76,1.4,1.6
48.9999853925815,1290.99691342067,0.9,274,10,76,1.4,1.6
45.3999044309531,4224.00918557911,7.7,219,17,159,2.7,2.8
29.900045436175,747.997772478408,3.9,67,6,199,2.2,2.2
15.4000383549862,455.99871886324,2.9,196,1,125,4.5,5.1
85.5003098574594,2620.99684609125,1.3,85,9,184,5.9,5.8
80.3000304375027,2281.00177397,0.6,91,7,74,-5.2,-5.1
54.2997704776491,2349.99857322565,6.2,221,14,193,12.2,10.1
78.2000275614959,2353.00849733986,5.7,199,14,212,9.2,8.3
37.6999964390857,1284.00579823621,1.6,65,22,150,-1.1,-1.2
11.1000542977998,1375.00136111225,3.8,52,21,89,-6.5,-6.6
28.600093870336,1151.99442288678,3.1,225,22,120,2.3,3
19.7000268758627,984.004037308865,1,334,23,66,0.1,0.6
20.2999820132388,2884.9994837518,2.2,44,18,189,9.8,9.8
68.1996886779803,351.999586189713,0.6,142,1,79,-0.6,1.1
38.9999358009966,2449.01210555406,2.9,189,15,133,4.9,5.3
4.50001171452201,351.001325565984,3.6,49,2,196,6.5,6.6
32.4999970965901,686.001627381973,2.1,83,23,58,0.5,0.5
24.3999235720203,312.999001362525,5.1,82,6,118,-6.4,-6.5
25.100054062001,2085.99241623413,4.3,322,13,32,8.5,8.3
166.500780983319,2551.99325133506,1,174,18,50,-0.1,1.7
66.9998245010351,1172.00355100486,3,90,21,174,0.2,1.2
58.7998909317118,2745.99838994401,2.5,212,9,131,2.7,2.7
24.3999235720203,312.999001362525,5.1,82,6,118,-6.4,-6.5
93.899963734492,3872.98187628177,3.4,248,8,43,1,2.3
24.0999556440725,989.995106314746,4.8,72,23,57,-1.4,-1.5
37.6999964390857,1284.00579823621,1.6,65,22,150,-1.1,-1.2
76.1998885429053,3644.00999047752,2.4,84,8,100,-9,-9
42.4998267733123,2978.99120388012,2.6,194,16,126,4.8,5.1
14.7000368414112,483.001616288512,4.8,215,1,34,8.9,9.9
265.700570520748,2218.99573301668,0.6,220,12,79,-0.2,1.2
41.2998967514925,3041.99856168422,4.3,17,16,116,-5.2,-5.3
66.4001954498571,3374.99796384074,2.8,209,8,33,5.2,5.5
265.700570520748,2218.99573301668,0.6,220,12,79,-0.2,1.2
116.600084661379,2176.99333570259,1.8,269,10,138,1.8,0.7
89.6999310149184,1444.99335222555,1.3,85,21,143,-7.2,-6.2
23.900036831423,1041.00305157629,0.6,97,11,119,-3.4,-3.9
101.899802290889,1264.00432957802,2.1,85,22,78,-1.6,0.4
45.3001344284483,296.999364776278,1.2,76,1,141,2,2.4
27.3000900303365,247.000410853231,5.4,88,2,167,-1.4,-0.9
27.3000900303365,247.000410853231,5.4,88,2,167,-1.4,-0.9
26.2000154379078,137.999491449243,2.2,82,2,170,4.4,4.6
70.8999692621566,1874.99261550608,1.7,250,13,137,-2.2,-2.9
45.3999044309531,4224.00918557911,7.7,219,17,159,2.7,2.8
77.7998886539376,2171.9920047658,2.9,74,10,187,3.6,3.3
15.2999567255658,1325.99712159418,4.1,159,22,212,7,7.4
25.2998887881875,607.000733827328,3,235,1,69,-0.9,-0.8
26.6999048038241,2411.00752671694,2.7,82,18,70,0,-0.1
10.5999575882338,456.998450363976,3.2,73,1,209,5.3,5.3
37.6999964390857,1284.00579823621,1.6,65,22,150,-1.1,-1.2
25.8999231106419,1020.00213559835,4.2,207,23,130,1.8,2.1
3.90001344279433,81.0000684715614,4.4,115,4,59,1.3,1.3
70.8999692621566,1874.99261550608,1.7,250,13,137,-2.2,-2.9
80.3000304375027,2281.00177397,0.6,91,7,74,-5.2,-5.1
19.7000268758627,984.004037308865,1,334,23,66,0.1,0.6
52.7999371304324,713.99788489267,0.8,89,6,206,5.5,5.6
45.9002241271949,2935.99004775665,2.1,48,15,88,-8.8,-9
187.999630988332,3531.0127259998,1.9,83,8,78,-1.5,1.7
46.900109021417,1951.00518845121,5,82,17,118,-5.5,-5.6
74.4003019277876,2168.99672301898,5,78,11,166,3.5,2.5
31.5000773063999,180.000566840655,2.7,86,5,92,-18.6,-17.8
72.5996426759669,2439.99190339255,0.8,80,18,113,-0.8,0.3
13.8000194281621,1389.00091291452,3.5,62,23,196,5,4.9
23.900036831423,1041.00305157629,0.6,97,11,119,-3.4,-3.9
51.5999136997163,192.999963541361,1.1,271,5,48,-0.9,1.2
116.999539629568,2002.99732466315,2.8,76,10,68,-3.9,-3.9
47.5000137255737,86.0002325225127,4.2,80,4,95,-13.8,-13.6
45.3001344284483,1953.99251110862,2.8,85,16,111,-0.2,-0.3
27.3000900303365,247.000410853231,5.4,88,2,167,-1.4,-0.9
15.2999567255658,1325.99712159418,4.1,159,22,212,7,7.4
48.299924620252,2409.99511617682,8.1,220,15,156,7.5,7
32.4999970965901,686.001627381973,2.1,83,23,58,0.5,0.5
60.8000128304964,1895.99680938551,0.3,289,14,95,-8,-8.2
77.200041917239,1840.992302366,2.6,65,11,115,-1.3,-1.4
14.7000368414112,483.001616288512,4.8,215,1,34,8.9,9.9
76.1998885429053,3433.99642363708,4,79,8,149,-2.8,-3.1
60.9997642858835,3823.99130357887,1.3,215,8,162,0.8,1
45.9002241271949,2935.99004775665,2.1,48,15,88,-8.8,-9
48.299924620252,1739.0078005554,1.4,243,20,102,-2.8,-2.9
77.7998886539376,2171.9920047658,2.9,74,10,187,3.6,3.3
93.899963734492,3872.98187628177,3.4,248,8,43,1,2.3
3.90001344279433,81.0000684715614,4.4,115,4,59,1.3,1.3
16.9999431511394,172.999724152104,1.5,179,3,202,3.1,3.1
48.9999853925815,1290.99691342067,0.9,274,10,76,1.4,1.6
60.8000128304964,1895.99680938551,0.3,289,14,95,-8,-8.2
35.6001552925945,1521.9991805225,4.6,359,21,116,-4.9,-4.6
31.5000773063999,180.000566840655,2.7,86,5,92,-18.6,-17.8
3.90001344279433,81.0000684715614,4.4,115,4,59,1.3,1.3
66.9000690987588,2903.98729228443,1.7,165,9,208,7.4,7.2
66.7997942200713,1907.00647313099,1.1,92,13,51,-0.9,-1.2
37.6999964390857,1284.00579823621,1.6,65,22,150,-1.1,-1.2
72.5996426759669,2439.99190339255,0.8,80,18,113,-0.8,0.3
24.0999556440725,989.995106314746,4.8,72,23,57,-1.4,-1.5
45.3001344284483,274.00051885016,2.9,74,1,101,-4.4,-4.1
21.3000623512537,497.999961641724,3.3,248,24,41,5.9,7.7
76.7996436370283,3737.00586901735,2.5,87,17,68,-5.6,-5.6
37.6999964390857,1284.00579823621,1.6,65,22,150,-1.1,-1.2
60.9997642858835,3823.99130357887,1.3,215,8,162,0.8,1
91.1995533873715,3538.01105725887,3.5,79,8,101,-5.6,-5
101.899802290889,1264.00432957802,2.1,85,22,78,-1.6,0.4
15.4000383549862,455.99871886324,2.9,196,1,125,4.5,5.1
9.79997662039793,146.000493231416,3.5,121,4,128,1.8,2.1
14.7000368414112,483.001616288512,4.8,215,1,34,8.9,9.9
89.6999310149184,1444.99335222555,1.3,85,21,143,-7.2,-6.2
13.8000194281621,1389.00091291452,3.5,62,23,196,5,4.9
44.9000990159146,2226.99851401834,3.1,79,10,64,2.1,2.1
30.7998555489692,177.999368049131,0.4,230,5,112,0.2,0.4
9.79997662039793,146.000493231416,3.5,121,4,128,1.8,2.1
25.2998887881875,607.000733827328,3,235,1,69,-0.9,-0.8
60.9997642858835,2042.99061280916,2.9,213,20,81,-3.4,-1.7
45.3999044309531,4224.00918557911,7.7,219,17,159,2.7,2.8
70.8999692621566,2079.99340080411,2.4,249,16,48,5.9,8.5
51.0002227315458,2328.9900554606,2.5,83,20,98,-5.4,-4
24.7999094015263,846.000541773309,2.8,77,22,84,-6.4,-6.5
52.7999371304324,713.99788489267,0.8,89,6,206,5.5,5.6
44.9000990159146,2226.99851401834,3.1,79,10,64,2.1,2.1
45.3001344284483,1953.99251110862,2.8,85,16,111,-0.2,-0.3
66.9998245010351,1172.00355100486,3,90,21,174,0.2,1.2
97.4003690835364,2900.9977252647,4.2,81,9,194,6.3,5.7
30.7998555489692,177.999368049131,0.4,230,5,112,0.2,0.4
12.9000346834042,2155.00861454816,9.9,249,15,160,6.8,6.6
22.1999491869614,2206.00838322746,3.5,56,14,196,6.4,6.1
24.3999235720203,312.999001362525,5.1,82,6,118,-6.4,-6.5
43.2998859042847,195.999086792946,3.3,251,5,156,1.5,3.1
101.899802290889,1264.00432957802,2.1,85,22,78,-1.6,0.4
51.0002227315458,2328.9900554606,2.5,83,20,98,-5.4,-4
52.7999371304324,713.99788489267,0.8,89,6,206,5.5,5.6
25.100054062001,2085.99241623413,4.3,322,13,32,8.5,8.3
24.3999235720203,312.999001362525,5.1,82,6,118,-6.4,-6.5
66.1000828327618,2235.99142657756,2.7,78,21,119,-9.9,-9.2
76.1998885429053,3644.00999047752,2.4,84,8,100,-9,-9
31.200059441815,280.998687920281,1,61,7,91,-13.8,-12
21.4999368947198,701.997610377948,2.8,241,23,132,3.7,4.8
76.1998885429053,3433.99642363708,4,79,8,149,-2.8,-3.1
53.6000499511091,2081.99115323662,2.3,247,10,33,6.7,6.3
25.5000394698388,1022.9951244431,2.3,193,23,163,2.6,3.2
20.2999820132388,1305.00219271923,7.8,49,11,90,-7,-7.1
45.3001344284483,274.00051885016,2.9,74,1,101,-4.4,-4.1
12.9000346834042,2155.00861454816,9.9,249,15,160,6.8,6.6
55.5998220104215,298.998931558094,1.2,185,1,180,2.7,4.4
22.1999491869614,2206.00838322746,3.5,56,14,196,6.4,6.1
26.2000154379078,137.999491449243,2.2,82,2,170,4.4,4.6
80.8002451857864,2813.00897773236,1.3,240,15,74,-4.2,-4.4
46.900109021417,3020.99038904615,2.3,245,17,168,1.2,1.3
73.5003376436944,3685.01545999507,2.2,73,17,129,2.9,2.8
68.7997423486588,3542.0112694478,5.9,214,16,108,4.2,4.5
24.7999094015263,244.000433028843,4.4,254,5,80,4.2,5.7
70.8999692621566,2079.99340080411,2.4,249,16,48,5.9,8.5
24.7999094015263,244.000433028843,4.4,254,5,80,4.2,5.7
66.7997942200713,1907.00647313099,1.1,92,13,51,-0.9,-1.2
56.2001822625355,1431.00174645578,0.9,90,21,75,0.9,1.3
20.2999820132388,2884.9994837518,2.2,44,18,189,9.8,9.8
73.5003376436944,3685.01545999507,2.2,73,17,129,2.9,2.8
77.200041917239,1840.992302366,2.6,65,11,115,-1.3,-1.4
48.299924620252,1739.0078005554,1.4,243,20,102,-2.8,-2.9
77.200041917239,1840.992302366,2.6,65,11,115,-1.3,-1.4
12.8000618123019,252.000229947226,7.5,3,5,40,-1.5,-1.2
72.5996426759669,2439.99190339255,0.8,80,18,113,-0.8,0.3
38.9999358009966,2449.01210555406,2.9,189,15,133,4.9,5.3
76.7996436370283,3737.00586901735,2.5,87,17,68,-5.6,-5.6
25.4000209797866,1699.0082882996,1.6,205,20,178,2.1,3.1
66.7997942200713,1907.00647313099,1.1,92,13,51,-0.9,-1.2
76.1998885429053,3644.00999047752,2.4,84,8,100,-9,-9
17.399996411764,158.000784783688,2.1,216,4,177,2.4,2.7
80.3000304375027,2281.00177397,0.6,91,7,74,-5.2,-5.1
16.9999431511394,172.999724152104,1.5,179,3,202,3.1,3.1
169.099956726549,1430.0003957469,1.3,114,21,50,-1.7,-0.3
80.0002692265425,1283.00466420662,1.7,90,22,191,3.3,3.8
27.3000900303365,247.000410853231,5.4,88,2,167,-1.4,-0.9
56.4000474603936,3505.99626442497,5.9,207,17,128,4.7,5.1
48.9999853925815,1290.99691342067,0.9,274,10,76,1.4,1.6
36.3000819919624,901.00427290502,3.6,73,8,83,-9.3,-9
41.2998967514925,164.000585837878,3,78,3,184,5.8,5.8
19.7000268758627,984.004037308865,1,334,23,66,0.1,0.6
4.50001171452201,351.001325565984,3.6,49,2,196,6.5,6.6
55.5998220104215,298.998931558094,1.2,185,1,180,2.7,4.4
25.2998887881875,607.000733827328,3,235,1,69,-0.9,-0.8
28.7000825767468,1202.99552969077,3.4,194,22,109,4.6,4.8
19.0000193958475,685.000795790838,6.5,210,10,35,9.5,8.7
60.9997642858835,2042.99061280916,2.9,213,20,81,-3.4,-1.7
80.5002266541454,1044.99773820559,1.7,74,23,143,-7.2,-6
55.9999053189117,1048.99726379585,1.3,236,20,86,-7.5,-5.2
93.899963734492,3872.98187628177,3.4,248,8,43,1,2.3
60.9997642858835,3823.99130357887,1.3,215,8,162,0.8,1
97.6998476810571,3876.00398061274,0.7,161,8,191,3.8,3.4
60.9997642858835,2042.99061280916,2.9,213,20,81,-3.4,-1.7
93.899963734492,3872.98187628177,3.4,248,8,43,1,2.3
62.8003093865853,146.999619744018,2.3,277,2,53,1.3,3.5
62.9002413033306,1941.99291394376,1.8,108,13,191,8.4,7.5
15.4000383549862,747.997772478408,4.1,88,24,186,6.5,6.5
41.1000772063325,1979.00604466175,6.4,235,13,34,11.7,11.5
71.1997993289261,177.000047334439,2.2,219,3,153,-2.7,-1.2
116.999539629568,2002.99732466315,2.8,76,10,68,-3.9,-3.9
26.6999048038241,2411.00752671694,2.7,82,18,70,0,-0.1
24.7999094015263,846.000541773309,2.8,77,22,84,-6.4,-6.5
116.999539629568,2002.99732466315,2.8,76,10,68,-3.9,-3.9
58.7998909317118,3251.00676109903,3.1,77,8,96,-13.6,-13.6
166.500780983319,2551.99325133506,1,174,18,50,-0.1,1.7
45.3999044309531,1198.00146314777,1.1,295,22,114,0.7,1.2
91.1995533873715,3538.01105725887,3.5,79,8,101,-5.6,-5
60.9997642858835,3823.99130357887,1.3,215,8,162,0.8,1
17.1000262740229,1754.99274151057,2.6,262,12,203,10.8,7.3
25.1998993383631,952.004726890356,3.1,86,23,115,-4.8,-4.9
116.999539629568,2002.99732466315,2.8,76,10,68,-3.9,-3.9
32.4999970965901,686.001627381973,2.1,83,23,58,0.5,0.5
62.9002413033306,1941.99291394376,1.8,108,13,191,8.4,7.5
52.7999371304324,713.99788489267,0.8,89,6,206,5.5,5.6
71.1997993289261,177.000047334439,2.2,219,3,153,-2.7,-1.2
45.9002241271949,2935.99004775665,2.1,48,15,88,-8.8,-9
42.4998267733123,2978.99120388012,2.6,194,16,126,4.8,5.1
41.8001530078963,466.00203450189,1.2,56,11,86,-7.9,-7.6
11.1000542977998,1375.00136111225,3.8,52,21,89,-6.5,-6.6
70.8999692621566,1874.99261550608,1.7,250,13,137,-2.2,-2.9
80.0002692265425,1283.00466420662,1.7,90,22,191,3.3,3.8
22.1999491869614,2206.00838322746,3.5,56,14,196,6.4,6.1
66.9000690987588,2903.98729228443,1.7,165,9,208,7.4,7.2
80.8002451857864,2813.00897773236,1.3,240,15,74,-4.2,-4.4
4.50001171452201,351.001325565984,3.6,49,2,196,6.5,6.6
76.7996436370283,3737.00586901735,2.5,87,17,68,-5.6,-5.6
95.3000180440888,2317.00341889271,2,85,15,99,-4.1,-4.2
59.8002594753591,1979.99579510107,6.1,238,14,162,7.5,7
80.0002692265425,1283.00466420662,1.7,90,22,191,3.3,3.8
101.899802290889,1264.00432957802,2.1,85,22,78,-1.6,0.4
11.1999576831082,1391.00251503676,4.2,233,15,180,11.9,10.6
20.2999820132388,2884.9994837518,2.2,44,18,189,9.8,9.8
10.5999575882338,456.998450363976,3.2,73,1,209,5.3,5.3
15.4000383549862,455.99871886324,2.9,196,1,125,4.5,5.1
66.7997942200713,1907.00647313099,1.1,92,13,51,-0.9,-1.2
37.6999964390857,1284.00579823621,1.6,65,22,150,-1.1,-1.2
45.3001344284483,274.00051885016,2.9,74,1,101,-4.4,-4.1
28.600093870336,1151.99442288678,3.1,225,22,120,2.3,3
70.8999692621566,1874.99261550608,1.7,250,13,137,-2.2,-2.9
76.7996436370283,3737.00586901735,2.5,87,17,68,-5.6,-5.6
32.4999970965901,686.001627381973,2.1,83,23,58,0.5,0.5
100.200181497358,2497.0117601991,2.3,8,15,44,3.4,3.9
64.9001542214014,2583.00828344673,3.5,77,7,185,6.3,6.2
72.0002794313863,3855.0143175065,5.5,216,17,193,11,10
53.6000499511091,2081.99115323662,2.3,247,10,33,6.7,6.3
85.5003098574594,2620.99684609125,1.3,85,9,184,5.9,5.8
15.4000383549862,455.99871886324,2.9,196,1,125,4.5,5.1
93.899963734492,3872.98187628177,3.4,248,8,43,1,2.3
23.4000930768756,338.001387329587,4.3,203,1,127,4.6,4.9
51.2999614133486,334.99982183865,2.1,79,3,83,-9.1,-8.5
60.9997642858835,2042.99061280916,2.9,213,20,81,-3.4,-1.7
